Bar Name,Brand Name,Par Level (ml),Total Demand (ml),Lost Sales (ml),Stockout Days,Days Simulated,Service Level
Johnson's Bar,Jack Daniels,1575,19002.59,29.579999999999984,1,55,0.9818181818181818
Johnson's Bar,Jameson,1261,17708.62,294.03999999999996,3,72,0.9583333333333334
Johnson's Bar,Jim Beam,1235,16581.27,212.80000000000007,2,76,0.9736842105263158
Johnson's Bar,Malibu,1576,26356.510000000013,0.0,0,70,1.0
Johnson's Bar,Miller,1410,16325.259999999998,196.18000000000006,2,61,0.9672131147540983
Johnson's Bar,Smirnoff,1616,25506.019999999997,307.21,1,69,0.9855072463768116
Johnson's Bar,Sutter Home,1457,22046.560000000005,472.34999999999997,2,66,0.9696969696969697
Johnson's Bar,Yellow Tail,1365,21600.250000000004,612.02,4,74,0.9459459459459459
Smith's Bar,Absolut,1476,27181.45,15.980000000000018,1,86,0.9883720930232558
Smith's Bar,Bacardi,1480,19114.25,299.95000000000005,2,59,0.9661016949152542
Smith's Bar,Barefoot,1460,21232.32,406.87999999999994,2,71,0.971830985915493
Smith's Bar,Budweiser,1353,13615.460000000001,0.0,0,46,1.0
Smith's Bar,Captain Morgan,1360,22119.31,194.76000000000002,3,76,0.9605263157894737
Smith's Bar,Coors,1457,15173.35,0.0,0,47,1.0
Smith's Bar,Grey Goose,1592,25041.56,15.309999999999945,1,70,0.9857142857142858
Smith's Bar,Heineken,1496,17079.000000000004,627.72,4,50,0.92
Smith's Bar,Jack Daniels,1430,18084.16,361.98,2,59,0.9661016949152542
Smith's Bar,Jameson,1405,18083.46,662.56,2,69,0.9710144927536232
Smith's Bar,Jim Beam,1431,23928.05,354.13,4,74,0.9459459459459459
Smith's Bar,Malibu,1451,24552.17999999999,308.73999999999995,2,76,0.9736842105263158
Smith's Bar,Miller,1427,20572.980000000007,301.73,3,67,0.9552238805970149
Smith's Bar,Smirnoff,1307,17018.2,429.08000000000004,2,75,0.9733333333333334
Smith's Bar,Sutter Home,1337,21832.970000000005,47.69,1,80,0.9875
Smith's Bar,Yellow Tail,1519,24085.21,522.6099999999999,3,73,0.9589041095890412
Taylor's Bar,Absolut,1352,18506.08,695.1800000000001,2,72,0.9722222222222222
Taylor's Bar,Bacardi,1279,16573.82,961.16,3,69,0.9565217391304348
Taylor's Bar,Barefoot,1423,21726.79,0.0,0,68,1.0
Taylor's Bar,Budweiser,1696,22022.139999999996,435.26,2,57,0.9649122807017544
Taylor's Bar,Captain Morgan,1608,22766.609999999986,627.91,2,67,0.9701492537313433
Taylor's Bar,Coors,1282,14578.489999999998,359.24000000000007,2,56,0.9642857142857143
Taylor's Bar,Grey Goose,1520,28017.889999999996,724.1800000000001,6,83,0.927710843373494
Taylor's Bar,Heineken,1303,10108.669999999998,15.010000000000048,2,40,0.95
Taylor's Bar,Jack Daniels,1399,23096.929999999997,688.8399999999999,2,81,0.9753086419753086
Taylor's Bar,Jameson,1425,21441.190000000002,0.0,0,69,1.0
Taylor's Bar,Jim Beam,1444,24368.84,292.32000000000005,2,74,0.972972972972973
Taylor's Bar,Malibu,1440,22042.689999999988,275.01000000000005,3,77,0.961038961038961
Taylor's Bar,Miller,1360,14317.58,0.0,0,59,1.0
Taylor's Bar,Smirnoff,1494,23242.639999999996,528.27,3,73,0.9589041095890412
Taylor's Bar,Sutter Home,1351,15951.019999999999,542.72,2,66,0.9696969696969697
Taylor's Bar,Yellow Tail,1213,16415.179999999997,491.04999999999995,2,77,0.974025974025974
Thomas's Bar,Absolut,1427,20429.040000000005,359.97,4,63,0.9365079365079365
Thomas's Bar,Bacardi,1524,24164.800000000003,101.94999999999999,1,68,0.9852941176470589
Thomas's Bar,Barefoot,1351,21030.86,214.38,2,76,0.9736842105263158
Thomas's Bar,Budweiser,1578,15071.100000000002,268.48,2,48,0.9583333333333334
Thomas's Bar,Captain Morgan,1286,19875.619999999995,775.8899999999999,4,82,0.9512195121951219
Thomas's Bar,Coors,1272,13196.200000000004,0.0,0,57,1.0
Thomas's Bar,Grey Goose,1505,28510.299999999996,150.46000000000004,1,86,0.9883720930232558
Thomas's Bar,Heineken,1404,13302.41,279.53999999999996,1,47,0.9787234042553191
Thomas's Bar,Jack Daniels,1509,24544.529999999995,637.78,2,73,0.9726027397260274
Thomas's Bar,Jameson,1198,15837.640000000001,225.88,3,76,0.9605263157894737
Thomas's Bar,Jim Beam,1523,25158.149999999998,110.98000000000002,1,76,0.9868421052631579
Thomas's Bar,Malibu,1456,21676.34,644.81,3,74,0.9594594594594594
Thomas's Bar,Miller,1710,21842.299999999996,563.6,2,59,0.9661016949152542
Thomas's Bar,Smirnoff,1408,21417.849999999995,438.21,4,70,0.9428571428571428
Thomas's Bar,Sutter Home,1266,13964.449999999997,706.78,3,63,0.9523809523809523
Thomas's Bar,Yellow Tail,1248,18394.35000000001,89.41000000000003,1,83,0.9879518072289156
