Bar Name,Brand Name,mean_daily_usage,std_daily_usage,total_days,lead_time_demand,safety_stock,recommended_par_level_ml,par_bottles_750ml
Johnson's Bar,Jim Beam,218.1746052631579,202.99818297013263,76,654.5238157894737,580.1452251349143,1235.0,2
Johnson's Bar,Malibu,376.5215714285714,156.11677224358598,70,1129.5647142857142,446.16359937525675,1576.0,3
Johnson's Bar,Miller,267.6272131147541,212.36323265520917,61,802.8816393442623,606.9094492203475,1410.0,2
Johnson's Bar,Smirnoff,369.6524637681159,177.1790068430778,69,1108.9573913043478,506.3570191132274,1616.0,3
Johnson's Bar,Sutter Home,334.0387878787879,158.83128291477823,66,1002.1163636363638,453.921355535575,1457.0,2
Johnson's Bar,Yellow Tail,291.89527027027026,171.11632087297818,74,875.6858108108108,489.030566897824,1365.0,2
Smith's Bar,Absolut,316.06337209302325,184.55666292407784,86,948.1901162790698,527.441503148779,1476.0,2
Smith's Bar,Bacardi,323.97033898305085,177.45117507180916,59,971.9110169491526,507.13484429383584,1480.0,2
Smith's Bar,Barefoot,299.0467605633803,196.83338190150752,71,897.1402816901409,562.5269398303818,1460.0,2
Smith's Bar,Budweiser,295.98826086956524,162.4153507428045,46,887.9647826086957,464.1642050358339,1353.0,2
Smith's Bar,Captain Morgan,291.04355263157896,170.2581453260818,76,873.1306578947369,486.5780008769117,1360.0,2
Smith's Bar,Coors,322.8372340425532,170.60022448507232,47,968.5117021276595,487.55562337482206,1457.0,2
Smith's Bar,Grey Goose,357.73657142857144,181.2907609410013,70,1073.2097142857142,518.107934672852,1592.0,3
Smith's Bar,Heineken,341.58,164.6649423179428,50,1024.74,470.5932764281244,1496.0,2
Smith's Bar,Jack Daniels,306.511186440678,178.57680129950026,59,919.533559322034,510.3517532913795,1430.0,2
Smith's Bar,Jameson,262.0791304347826,216.48742007833596,69,786.2373913043477,618.6958977790546,1405.0,2
Smith's Bar,Jim Beam,323.352027027027,161.1223467828755,74,970.0560810810811,460.4689499234091,1431.0,2
Smith's Bar,Malibu,323.055,168.3722748633713,76,969.165,481.18840217136346,1451.0,2
Smith's Bar,Miller,307.0594029850746,176.80621435911638,67,921.1782089552238,505.29162150044084,1427.0,2
Smith's Bar,Smirnoff,226.90933333333334,219.04281777113144,75,680.7280000000001,625.9989275308734,1307.0,2
Smith's Bar,Sutter Home,272.912125,181.26586986791398,80,818.736375,518.0367988775024,1337.0,2
Smith's Bar,Yellow Tail,329.9343835616438,185.10929562758247,73,989.8031506849314,529.0208632174295,1519.0,3
Taylor's Bar,Absolut,257.02888888888884,203.00878341891251,72,771.0866666666666,580.1755199860995,1352.0,2
Taylor's Bar,Bacardi,240.20028985507247,195.17190648827432,69,720.6008695652174,557.7786361088253,1279.0,2
Taylor's Bar,Barefoot,319.5116176470588,162.3550696578731,68,958.5348529411765,463.99192869780364,1423.0,2
Taylor's Bar,Budweiser,386.3533333333333,187.6862377968436,57,1159.06,536.3854645802189,1696.0,3
Taylor's Bar,Captain Morgan,339.8001492537314,205.62485618300238,67,1019.4004477611941,587.6519520432057,1608.0,3
Taylor's Bar,Coors,260.3301785714286,175.0078027610205,56,780.9905357142857,500.15197007008254,1282.0,2
Taylor's Bar,Grey Goose,337.5649397590361,177.38731932415158,83,1012.6948192771083,506.95235198499375,1520.0,3
Taylor's Bar,Heineken,252.71675,190.63398360353088,40,758.1502499999999,544.8097796634368,1303.0,2
Taylor's Bar,Jack Daniels,285.1472839506173,190.00716718069052,81,855.4418518518519,543.0184111426629,1399.0,2
Taylor's Bar,Jameson,310.741884057971,172.0908828657572,69,932.225652173913,491.8157518607451,1425.0,2
Taylor's Bar,Jim Beam,329.30864864864867,159.53106302341783,74,987.9259459459461,455.9212457943533,1444.0,2
Taylor's Bar,Malibu,286.2687012987013,203.34509922756965,77,858.8061038961039,581.1366714982711,1440.0,2
Taylor's Bar,Miller,242.6708474576271,220.86367666494888,59,728.0125423728813,631.2027307247575,1360.0,2
Taylor's Bar,Smirnoff,318.3923287671233,188.49090605473475,73,955.1769863013699,538.685112984963,1494.0,2
Taylor's Bar,Sutter Home,241.68212121212122,218.82392086589513,66,725.0463636363636,625.3733456044168,1351.0,2
Taylor's Bar,Yellow Tail,213.18415584415584,200.56789552845248,77,639.5524675324675,573.1997459470364,1213.0,2
Thomas's Bar,Absolut,324.2704761904762,158.66092437636664,63,972.8114285714286,453.4344906229221,1427.0,2
Thomas's Bar,Bacardi,355.36470588235295,160.03137801899499,68,1066.0941176470587,457.3510879313648,1524.0,3
Thomas's Bar,Barefoot,276.7218421052632,181.9622467561923,76,830.1655263157895,520.0269631278317,1351.0,2
Thomas's Bar,Budweiser,313.98125,222.25599705787806,48,941.9437499999999,635.181820665354,1578.0,3
Thomas's Bar,Captain Morgan,242.38560975609755,195.4778524545451,82,727.1568292682927,558.6529941394456,1286.0,2
Thomas's Bar,Coors,231.5122807017544,202.0372529476534,57,694.5368421052632,577.3989987595179,1272.0,2
Thomas's Bar,Grey Goose,331.5151162790698,178.58368390489977,86,994.5453488372093,510.3714229780761,1505.0,3
Thomas's Bar,Heineken,283.03,193.93257886048502,47,849.0899999999999,554.2367817182097,1404.0,2
Thomas's Bar,Jack Daniels,336.22643835616435,175.02479935688052,73,1008.679315068493,500.2005443665982,1509.0,3
Thomas's Bar,Jameson,208.39,200.39945683226458,76,625.17,572.7183677204356,1198.0,2
Thomas's Bar,Jim Beam,331.02828947368425,185.22832113466998,76,993.0848684210528,529.3610242897885,1523.0,3
Thomas's Bar,Malibu,292.9235135135135,201.95863362846157,74,878.7705405405405,577.1743138782783,1456.0,2
Thomas's Bar,Miller,370.20847457627116,209.40567046642985,59,1110.6254237288135,598.4570800574553,1710.0,3
Thomas's Bar,Smirnoff,305.9692857142857,171.3286141428806,70,917.9078571428572,489.63727640162426,1408.0,2
Thomas's Bar,Sutter Home,221.6579365079365,210.22377370208227,63,664.9738095238096,600.795124067933,1266.0,2
Thomas's Bar,Yellow Tail,221.61867469879516,203.92442927599245,83,664.8560240963855,582.7923294773334,1248.0,2
